Prompt: golden fish swimming in the ocean. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,15,0.033,0.449,0.163,10
,25,0.044,0.688,0.201,10
,29,0.023,0.488,-0.231,12
,30,0.007,0.249,-0.044,12
Prompt: an airplane soaring through a clear blue sky aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,8.250,9.000,7.969,3
,5,0.228,1.000,0.000,3
,8,0.105,1.000,0.000,4
,12,0.132,1.945,-1.578,3
,15,0.061,0.672,0.234,8
,23,0.043,0.707,0.148,10
,29,0.032,0.559,-0.271,10
,30,0.010,0.287,-0.021,12
Prompt: a bicycle slowing down to stop aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,7.781,8.375,7.344,3
,5,0.190,1.000,0.000,3
,8,0.191,1.000,0.000,3
,11,0.297,2.203,-1.711,3
,14,0.078,0.641,0.117,6
,20,0.049,0.617,0.059,10
,29,0.042,0.559,-0.135,10
,30,0.017,0.555,0.064,12
Prompt: a bicycle slowing down to stop aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.812,6.125,5.125,3
,5,0.194,1.000,0.000,3
,8,0.162,1.000,0.000,3
,11,0.185,1.000,0.000,3
,14,0.447,2.562,1.195,3
,17,0.213,1.734,0.287,3
,20,0.158,1.445,0.000,3
,23,0.167,1.648,-0.287,3
,26,0.169,1.539,-0.260,3
,29,0.221,1.461,-0.260,3
,30,0.198,1.875,0.520,3
Prompt: an airplane landing smoothly on a runway aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.578,4.594,-3.594,3
,5,0.277,1.000,0.000,3
,8,0.196,1.000,0.000,3
,11,0.153,1.273,0.208,3
,14,0.210,2.016,0.730,3
,17,0.184,1.992,0.547,3
,20,0.260,2.625,0.910,3
,23,0.277,2.672,0.730,3
,26,0.219,1.938,0.000,3
,29,0.385,2.406,0.365,3
,30,0.355,3.125,0.832,3
Prompt: an airplane landing smoothly on a runway aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,8.875,14.000,-13.000,3
,5,0.291,1.000,0.000,3
,8,0.194,1.000,0.000,3
,11,0.188,1.578,0.443,3
,14,0.152,1.438,0.234,3
,17,0.226,2.250,0.809,3
,20,0.142,1.445,0.000,3
,23,0.216,2.219,0.598,3
,26,0.204,1.844,-0.312,3
,29,0.297,1.938,-0.574,3
,30,0.193,1.734,0.287,3
Prompt: a person is driving car aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.375,5.438,-4.438,3
,5,0.311,1.000,0.000,3
,8,0.239,1.000,0.000,3
,11,0.742,4.562,2.750,3
,14,0.439,3.312,1.148,3
,17,0.279,2.719,0.416,3
,20,0.277,2.875,-0.832,3
,23,0.229,2.297,-0.365,3
,26,0.235,2.188,-0.365,3
,29,0.314,2.078,-0.365,3
,30,0.229,2.188,0.365,3
Prompt: a person is driving car aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,6.969,9.250,-8.250,3
,5,0.314,1.000,0.000,3
,8,0.181,1.000,0.000,3
,11,0.220,1.273,0.208,3
,14,0.340,2.719,1.273,3
,17,0.238,2.219,0.598,3
,20,0.188,1.844,-0.312,3
,23,0.149,1.531,0.000,3
,26,0.188,1.734,-0.287,3
,29,0.277,1.820,0.287,3
,30,0.201,1.938,0.312,3
Prompt: a person is shooting goal soccer aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.812,7.250,-6.250,3
,5,0.233,1.000,0.000,3
,8,0.195,1.000,0.000,3
,11,0.171,1.000,0.000,3
,14,0.500,3.312,1.773,3
,17,0.244,1.734,-0.287,3
,20,0.185,1.445,0.000,3
,23,0.155,1.445,0.000,3
,26,0.240,2.016,-0.809,3
,29,0.311,1.953,-1.070,3
,30,0.130,1.125,-0.352,3
Prompt: a person is shooting goal soccer aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.875,3.219,2.219,3
,5,0.287,1.000,0.000,3
,8,0.188,1.000,0.000,3
,11,0.418,3.312,1.773,3
,14,0.273,1.938,0.312,3
,17,0.239,2.031,0.312,3
,20,0.205,1.938,-0.312,3
,23,0.217,2.047,-0.598,3
,26,0.258,2.016,-0.809,3
,29,0.377,2.141,-1.344,3
,30,0.106,0.855,-0.078,4
Prompt: a person is dancing ballet aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.633,3.219,2.219,3
,5,0.252,1.000,0.000,3
,8,0.143,1.000,0.000,3
,11,0.244,2.219,0.938,3
,14,0.177,1.617,0.260,3
,17,0.160,1.539,-0.260,3
,20,0.210,1.992,0.547,3
,23,0.248,2.219,0.598,3
,26,0.264,2.047,-0.598,3
,29,0.307,1.828,-0.547,3
,30,0.236,1.992,0.547,3
Prompt: a person is dancing ballet aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.000,5.438,-4.438,3
,5,0.238,1.000,0.000,3
,8,0.171,1.000,0.000,3
,11,0.416,2.922,1.477,3
,14,0.185,1.445,0.000,3
,17,0.173,1.445,0.000,3
,20,0.260,2.219,0.598,3
,23,0.188,1.625,0.000,3
,26,0.254,2.031,0.312,3
