Prompt: a lightning striking atop of eiffel tower, dark clouds in the sky aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
30,0.004,0.159, -0.020, 12
Prompt: a tranquil tableau of the stonehenge presented itself as an enigmatic puzzle, each colossal stone meticulously placed against the backdrop of tranquility aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.031,9.625, 8.625, 3
5,0.268,1.000, 0.000, 3
8,0.159,1.000, 0.000, 3
11,0.123,1.516, -0.738, 3
14,0.072,1.109, -0.469, 6
20,0.043,0.727, -0.222, 10
29,0.041,0.504, -0.121, 10
30,0.012,0.383, -0.062, 12
Prompt: a tranquil tableau of the stonehenge presented itself as an enigmatic puzzle, each colossal stone meticulously placed against the backdrop of tranquility aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.156,7.812, 6.812, 3
5,0.245,1.000, 0.000, 3
8,0.122,1.000, 0.000, 3
11,0.130,1.273, -0.391, 3
14,0.095,1.000, 0.091, 4
18,0.078,0.953, -0.068, 6
24,0.081,1.000, -0.299, 6
29,0.096,0.930, -0.559, 4
30,0.033,0.391, -0.034, 10
Prompt: forest road aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,6.281,7.438, 6.438, 3
5,0.264,1.000, 0.000, 3
8,0.180,1.000, 0.000, 3
11,0.309,2.219, 0.938, 3
14,0.260,2.359, 0.832, 3
17,0.149,1.531, 0.000, 3
20,0.172,1.734, -0.287, 3
23,0.154,1.445, 0.000, 3
26,0.224,2.016, -0.809, 3
29,0.375,2.375, -1.664, 3
30,0.085,0.703, 0.000, 6
Prompt: forest road aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.188,3.969, 2.969, 3
5,0.185,1.000, 0.000, 3
8,0.155,1.000, 0.000, 3
11,0.171,1.750, -1.070, 3
14,0.086,0.984, 0.234, 6
20,0.054,0.809, -0.149, 8
28,0.056,0.754, -0.467, 8
29,0.008,0.305, -0.083, 12
30,0.006,0.217, -0.020, 12
Prompt: in a still frame, a tranquil japanese tea ceremony room, with tatami mats, a delicate tea set, and a bonsai tree in the corner aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,8.312,9.062, 8.062, 3
5,0.212,1.000, 0.000, 3
8,0.188,1.000, 0.000, 3
11,0.271,2.312, -1.875, 3
14,0.050,0.508, -0.098, 10
24,0.025,0.410, -0.102, 12
29,0.013,0.266, -0.211, 12
30,0.001,0.051, -0.021, 12
Prompt: in a still frame, a tranquil japanese tea ceremony room, with tatami mats, a delicate tea set, and a bonsai tree in the corner aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,7.750,10.688, 9.688, 3
5,0.227,1.000, 0.000, 3
8,0.151,1.000, 0.000, 3
11,0.277,1.875, 0.676, 3
14,0.270,1.750, -0.781, 3
17,0.141,1.172, -0.287, 3
20,0.109,1.125, -0.352, 4
24,0.095,1.047, -0.449, 4
28,0.136,1.148, -0.918, 3
29,0.032,0.428, -0.283, 10
30,0.005,0.145, -0.073, 12
Prompt: a hot dog on the top of a pizza, front view aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,9.000,10.312, 9.312, 3
5,0.249,1.000, 0.000, 3
8,0.146,1.000, 0.000, 3
11,0.224,1.984, -1.406, 3
14,0.110,0.934, 0.273, 3
17,0.070,0.746, 0.065, 6
23,0.052,0.691, -0.032, 8
29,0.057,0.730, -0.348, 8
30,0.015,0.391, -0.034, 12
Prompt: a hot dog on the top of a pizza, front view aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.219,7.438, 6.438, 3
5,0.268,1.000, 0.000, 3
8,0.175,1.000, 0.000, 3
11,0.213,1.578, -0.832, 3
14,0.084,0.750, 0.000, 6
20,0.069,0.867, -0.287, 8
28,0.050,0.621, -0.210, 8
29,0.011,0.410, 0.000, 12
30,0.010,0.410, 0.000, 12
